fpr,tpr,threshold
0.003961516694963215,0.20226453937210498,0.9381366472488653
0.003961516694963215,0.20329387545033453,0.9343314417047935
0.004055838521033767,0.20329387545033453,0.9339828466620475
0.004055838521033767,0.2038085434894493,0.9336025124672218
0.00415016034710432,0.2038085434894493,0.9332249126381652
0.00415016034710432,0.20432321152856409,0.933198719633185
0.00415016034710432,0.20998455995882656,0.93
0.00415016034710432,0.2110138960370561,0.9291607802475537
0.004244482173174873,0.2110138960370561,0.9289114902916702
0.004338803999245426,0.21152856407617088,0.9273182853592877
0.004433125825315978,0.21152856407617088,0.9262120415031689
0.004433125825315978,0.21410190427174472,0.9240653194307075
0.004527447651386531,0.21461657231085948,0.9233838993851738
0.004527447651386531,0.21513124034997427,0.9228065097000825
0.004527447651386531,0.2182192485846629,0.921351010223006
0.004621769477457084,0.2218219248584663,0.92
0.0047160913035276366,0.2218219248584663,0.9191607802475537
0.0047160913035276366,0.22233659289758106,0.9191597610940907
0.004810413129598189,0.22285126093669583,0.9184515126150903
0.004904734955668742,0.22285126093669583,0.9183980695793414
0.004904734955668742,0.2233659289758106,0.9178835721973428
0.0050933786078098476,0.2233659289758106,0.9174909124892859
0.0050933786078098476,0.22645393721049922,0.9118080008297161
0.0050933786078098476,0.2285126093669583,0.9114135124275796
0.0051877004338804,0.23108594956253217,0.91
0.0051877004338804,0.2321152856407617,0.9084515126150903
0.005282022259950953,0.2321152856407617,0.9084426211789365
0.005282022259950953,0.23314462171899125,0.9073182853592877
0.005470665912092058,0.23365928975810601,0.9069030252301806
0.005470665912092058,0.23468862583633557,0.9048808935136187
0.005470665912092058,0.2357179619145651,0.9036760983403782
0.0055649877381626104,0.2357179619145651,0.90311682859829
0.0055649877381626104,0.23623262995367988,0.9029261675211814
0.005659309564233163,0.23623262995367988,0.9025168320457978
0.006036596868515374,0.23829130211013896,0.9
0.006036596868515374,0.2393206381883685,0.8994502076912605
0.006036596868515374,0.23983530622748328,0.8978441817879141
0.00622524052065648,0.24034997426659804,0.897612292862644
0.00622524052065648,0.24189397838394236,0.8970367117257045
0.006508205998868138,0.24189397838394236,0.8964790656068413
0.006508205998868138,0.24240864642305712,0.8957707380796864
0.006602527824938691,0.24240864642305712,0.8957008063002059
0.006602527824938691,0.24343798250128668,0.895224585725288
0.006696849651009243,0.24343798250128668,0.8949045391831538
0.006696849651009243,0.244981986618631,0.893305246458395
0.006791171477079796,0.244981986618631,0.8922622491016401
0.006885493303150349,0.24549665465774576,0.8915830988588129
0.006885493303150349,0.24601132269686052,0.8915395959487559
0.006979815129220902,0.24755532681420483,0.89
0.007074136955291454,0.24755532681420483,0.8891607802475536
0.007168458781362007,0.2480699948533196,0.8884515126150903
0.00726278060743256,0.2480699948533196,0.8883215604951072
0.00726278060743256,0.2485846628924344,0.8872686006509747
0.007451424259573665,0.2485846628924344,0.8847634452082491
0.007545746085644218,0.24961399897066391,0.8841134264340273
0.007545746085644218,0.2501286670097787,0.8839135573828852
0.007734389737785324,0.2501286670097787,0.8833820908370218
0.00792303338992643,0.2501286670097787,0.8825168320457978
0.00792303338992643,0.25115800308800823,0.8805238076686784
0.008111677042067535,0.25115800308800823,0.8804104605952416
0.008205998868138087,0.25424601132269686,0.88
0.008205998868138087,0.25579001544004115,0.8767730731101976
0.008394642520279192,0.25579001544004115,0.8767037058195679
0.008488964346349746,0.25579001544004115,0.8754883098585049
0.008488964346349746,0.25630468347915597,0.8754882243407949
0.008583286172420298,0.25630468347915597,0.8748006261019486
0.008583286172420298,0.2573340195573855,0.8742213105894683
0.008677607998490851,0.2573340195573855,0.8724185694037315
0.008771929824561403,0.25784868759650026,0.87
0.008771929824561403,0.2588780236747298,0.8691607802475536
0.008866251650631957,0.2588780236747298,0.8687227919497893
0.009149217128843614,0.2588780236747298,0.86848454687399
0.009432182607055273,0.2588780236747298,0.8649305782219315
0.009432182607055273,0.25939269171384455,0.8642393936246325
0.009526504433125825,0.25939269171384455,0.8642213105894682
0.009526504433125825,0.25990735975295937,0.8633820908370218
0.00971514808526693,0.25990735975295937,0.8623977988229625
0.00971514808526693,0.26042202779207413,0.8616290081296961
0.009809469911337484,0.26042202779207413,0.8614131862623922
0.009809469911337484,0.2609366958311889,0.8611877152813179
0.009903791737408036,0.2609366958311889,0.860369522640797
0.010186757215619695,0.2624806999485332,0.86
0.010281079041690247,0.2624806999485332,0.8594204596402379
0.010281079041690247,0.26351003602676276,0.8591607802475536
0.010469722693831352,0.26351003602676276,0.8581168475524745
0.010564044519901906,0.26351003602676276,0.8574379233580448
0.010564044519901906,0.2645393721049923,0.8560638054777343
0.010847009998113563,0.2645393721049923,0.8540490666451684
0.010847009998113563,0.2660833762223366,0.8531638260819837
0.010847009998113563,0.2676273803396809,0.85
0.010847009998113563,0.26865671641791045,0.8489085235637984
0.011224297302395774,0.26865671641791045,0.8467177797490812
0.011224297302395774,0.27020072053525473,0.8451922608445679
0.011318619128466326,0.27020072053525473,0.8449142743611533
0.011318619128466326,0.27071538857436955,0.8439110715382289
0.011507262780607432,0.27071538857436955,0.8425168320457977
0.011507262780607432,0.2717447246525991,0.8416331949087352
0.011695906432748537,0.2717447246525991,0.8409052158443682
0.012167515563101302,0.27380339680905813,0.84
0.012167515563101302,0.2753474009264025,0.8373435776330719
0.012261837389171854,0.2753474009264025,0.8356076142626402
0.01245048104131296,0.2753474009264025,0.8352189322897438
0.01245048104131296,0.27586206896551724,0.8338479154304753
0.012639124693454065,0.27586206896551724,0.8336091249461617
0.012639124693454065,0.27689140504374676,0.8333584373491995
0.012922090171665724,0.27689140504374676,0.8315395959487559
0.012922090171665724,0.2774060730828616,0.8304273399067301
0.01311073382380683,0.27792074112197634,0.83
0.013205055649877381,0.27792074112197634,0.8291586692456289
0.013205055649877381,0.27895007720020587,0.8289055718179356
0.013299377475947935,0.27946474523932063,0.8280358145323211
0.013393699302018487,0.27946474523932063,0.8270934475238433
0.013393699302018487,0.2799794132784354,0.8270759881471555
0.01348802112808904,0.2799794132784354,0.8253775422635253
0.01348802112808904,0.28049408131755016,0.8249305782219315
0.013865308432371251,0.28049408131755016,0.8204814530499667
0.014053952084512357,0.28049408131755016,0.8203078835164007
0.014148273910582909,0.28152341739577974,0.82
0.014336917562724014,0.28152341739577974,0.8194780078658437
0.014714204867006225,0.28152341739577974,0.8169119059036137
0.014714204867006225,0.28255275347400927,0.8146618629923595
0.014808526693076777,0.28306742151312403,0.8138849782660721
0.014997170345217883,0.28306742151312403,0.8129120558871893
0.014997170345217883,0.2835820895522388,0.8125428710845755
0.015091492171288436,0.2846114256304684,0.8108896443638608
