id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,hour,day_of_week,month,is_weekend
14052457,JJ518376,2025-12-11 02:07:00,062XX S WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,825,8,16,66.0,14,1161445.0,1863145.0,2025,2025-12-19 15:43:07,41.780145374,-87.683665408,"(41.780145374, -87.683665408)",2,Thursday,12,0
14069340,JJ538833,2025-12-11 02:00:00,054XX S LONG AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,814,8,23,56.0,04B,1141286.0,1868036.0,2025,2026-01-01 15:46:06,41.793961287,-87.757452453,"(41.793961287, -87.757452453)",2,Thursday,12,0
14053851,JJ520176,2025-12-11 02:00:00,100XX W OHARE ST,810,THEFT,OVER $500,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,False,1651,16,41,76.0,6,1100658.0,1934241.0,2025,2025-12-19 15:43:07,41.976290414,-87.905227221,"(41.976290414, -87.905227221)",2,Thursday,12,0
14053681,JJ519836,2025-12-11 02:00:00,074XX S EBERHART AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,323,3,6,69.0,2,1180866.0,1855703.0,2025,2025-12-19 15:43:07,41.75929907,-87.612693997,"(41.75929907, -87.612693997)",2,Thursday,12,0
14053384,JJ518370,2025-12-11 01:58:00,080XX S EBERHART AVE,460,BATTERY,SIMPLE,APARTMENT,False,True,631,6,6,44.0,08B,1180972.0,1851742.0,2025,2025-12-19 15:43:07,41.748427219,-87.612427155,"(41.748427219, -87.612427155)",1,Thursday,12,0
14052474,JJ518369,2025-12-11 01:50:00,081XX S MAY ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,613,6,17,71.0,7,1170067.0,1850881.0,2025,2025-12-19 15:43:07,41.746308291,-87.652411716,"(41.746308291, -87.652411716)",1,Thursday,12,0
14052458,JJ518362,2025-12-11 01:45:00,035XX S RHODES AVE,560,ASSAULT,SIMPLE,STREET,False,False,212,2,4,35.0,08A,1180161.0,1881775.0,2025,2025-12-19 15:43:07,41.830859172,-87.614478749,"(41.830859172, -87.614478749)",1,Thursday,12,0
14052486,JJ518368,2025-12-11 01:45:00,001XX S CENTRAL AVE,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,True,True,1513,15,29,25.0,04A,1139076.0,1898876.0,2025,2025-12-19 15:43:07,41.878631263,-87.764808046,"(41.878631263, -87.764808046)",1,Thursday,12,0
14052466,JJ518374,2025-12-11 01:43:00,026XX W 65TH ST,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,831,8,16,66.0,04A,1159692.0,1861428.0,2025,2025-12-19 15:43:07,41.775469846,-87.690139298,"(41.775469846, -87.690139298)",1,Thursday,12,0
14052467,JJ518364,2025-12-11 01:38:00,012XX S SPAULDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1022,10,24,29.0,08B,1154560.0,1894195.0,2025,2025-12-19 15:43:07,41.865490571,-87.708078696,"(41.865490571, -87.708078696)",1,Thursday,12,0
14052523,JJ518366,2025-12-11 01:31:00,018XX S STATE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,131,1,3,33.0,15,1176618.0,1891448.0,2025,2025-12-19 15:43:07,41.857483224,-87.627186277,"(41.857483224, -87.627186277)",1,Thursday,12,0
14081440,JK112806,2025-12-11 01:30:00,005XX N MILWAUKEE AVE,870,THEFT,POCKET-PICKING,CTA TRAIN,False,False,1214,12,27,24.0,6,1170867.0,1903766.0,2025,2026-01-15 15:42:23,41.891412551,-87.647934597,"(41.891412551, -87.647934597)",1,Thursday,12,0
14052470,JJ518353,2025-12-11 01:26:00,012XX W 97TH ST,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,True,False,2213,22,21,73.0,7,1169751.0,1840605.0,2025,2025-12-19 15:43:07,41.718116331,-87.653866859,"(41.718116331, -87.653866859)",1,Thursday,12,0
